Date/Time,4/13/2021,14:43:14,BEAM_PROFILE_Y
Distance (μm),Intensity (cnts),,
0,84,,
3.69,73,,
7.38,81,,
11.07,81,,
14.76,72,,
18.45,76,,
22.14,83,,
25.83,77,,
29.52,78,,
33.21,77,,
36.9,84,,
40.59,82,,
44.28,70,,
47.97,80,,
51.66,79,,
55.35,76,,
59.04,74,,
62.73,80,,
66.42,78,,
70.11,80,,
73.8,79,,
77.49,76,,
81.18,81,,
84.87,80,,
88.56,78,,
92.25,81,,
95.94,77,,
99.63,78,,
103.32,79,,
107.01,83,,
110.7,80,,
114.39,80,,
118.08,82,,
121.77,74,,
125.46,80,,
129.15,84,,
132.84,80,,
136.53,78,,
140.22,73,,
143.91,82,,
147.6,77,,
151.29,78,,
154.98,80,,
158.67,78,,
162.36,86,,
166.05,83,,
169.74,82,,
173.43,75,,
177.12,77,,
180.81,71,,
184.5,81,,
188.19,79,,
191.88,78,,
195.57,74,,
199.26,82,,
202.95,74,,
206.64,75,,
210.33,76,,
214.02,78,,
217.71,80,,
221.4,81,,
225.09,80,,
228.78,74,,
232.47,75,,
236.16,83,,
239.85,79,,
243.54,75,,
247.23,80,,
250.92,78,,
254.61,78,,
258.3,81,,
261.99,76,,
265.68,81,,
269.37,77,,
273.06,81,,
276.75,82,,
280.44,81,,
284.13,84,,
287.82,82,,
291.51,73,,
295.2,79,,
298.89,83,,
302.58,75,,
306.27,84,,
309.96,79,,
313.65,76,,
317.34,79,,
321.03,74,,
324.72,76,,
328.41,81,,
332.1,72,,
335.79,81,,
339.48,80,,
343.17,84,,
346.86,82,,
350.55,80,,
354.24,80,,
357.93,77,,
361.62,77,,
365.31,83,,
369,78,,
372.69,81,,
376.38,78,,
380.07,78,,
383.76,78,,
387.45,83,,
391.14,75,,
394.83,82,,
398.52,80,,
402.21,86,,
405.9,78,,
409.59,76,,
413.28,80,,
416.97,78,,
420.66,82,,
424.35,77,,
428.04,82,,
431.73,76,,
435.42,75,,
439.11,79,,
442.8,78,,
446.49,77,,
450.18,80,,
453.87,89,,
457.56,89,,
461.25,82,,
464.94,84,,
468.63,80,,
472.32,82,,
476.01,75,,
479.7,79,,
483.39,83,,
487.08,83,,
490.77,87,,
494.46,72,,
498.15,81,,
501.84,78,,
505.53,80,,
509.22,83,,
512.91,85,,
516.6,82,,
520.29,85,,
523.98,82,,
527.67,80,,
531.36,76,,
535.05,71,,
538.74,77,,
542.43,77,,
546.12,85,,
549.81,77,,
553.5,72,,
557.19,77,,
560.88,79,,
564.57,78,,
568.26,74,,
571.95,79,,
575.64,85,,
579.33,80,,
583.02,75,,
586.71,76,,
590.4,75,,
594.09,78,,
597.78,81,,
601.47,88,,
605.16,82,,
608.85,78,,
612.54,81,,
616.23,78,,
619.92,77,,
623.61,81,,
627.3,77,,
630.99,75,,
634.68,76,,
638.37,78,,
642.06,78,,
645.75,82,,
649.44,84,,
653.13,82,,
656.82,87,,
660.51,77,,
664.2,80,,
667.89,74,,
671.58,81,,
675.27,83,,
678.96,82,,
682.65,83,,
686.34,80,,
690.03,79,,
693.72,76,,
697.41,78,,
701.1,80,,
704.79,79,,
708.48,78,,
712.17,85,,
715.86,82,,
719.55,78,,
723.24,81,,
726.93,74,,
730.62,85,,
734.31,81,,
738,79,,
741.69,80,,
745.38,75,,
749.07,80,,
752.76,88,,
756.45,81,,
760.14,84,,
763.83,77,,
767.52,74,,
771.21,78,,
774.9,75,,
778.59,78,,
782.28,77,,
785.97,74,,
789.66,72,,
793.35,81,,
797.04,77,,
800.73,78,,
804.42,80,,
808.11,82,,
811.8,79,,
815.49,81,,
819.18,85,,
822.87,77,,
826.56,78,,
830.25,74,,
833.94,77,,
837.63,77,,
841.32,81,,
845.01,86,,
848.7,76,,
852.39,75,,
856.08,79,,
859.77,75,,
863.46,71,,
867.15,84,,
870.84,81,,
874.53,83,,
878.22,74,,
881.91,73,,
885.6,74,,
889.29,75,,
892.98,89,,
896.67,66,,
900.36,83,,
904.05,77,,
907.74,77,,
911.43,81,,
915.12,80,,
918.81,88,,
922.5,78,,
926.19,75,,
929.88,76,,
933.57,79,,
937.26,73,,
940.95,85,,
944.64,78,,
948.33,80,,
952.02,72,,
955.71,84,,
959.4,78,,
963.09,83,,
966.78,80,,
970.47,84,,
974.16,76,,
977.85,76,,
981.54,83,,
985.23,82,,
988.92,74,,
992.61,80,,
996.3,82,,
999.99,78,,
1003.68,82,,
1007.37,86,,
1011.06,83,,
1014.75,75,,
1018.44,78,,
1022.13,78,,
1025.82,76,,
1029.51,85,,
1033.2,78,,
1036.89,79,,
1040.58,75,,
1044.27,81,,
1047.96,83,,
1051.65,75,,
1055.34,76,,
1059.03,82,,
1062.72,75,,
1066.41,80,,
1070.1,79,,
1073.79,81,,
1077.48,81,,
1081.17,79,,
1084.86,74,,
1088.55,83,,
1092.24,75,,
1095.93,75,,
1099.62,77,,
1103.31,75,,
1107,79,,
1110.69,75,,
1114.38,83,,
1118.07,76,,
1121.76,79,,
1125.45,83,,
1129.14,82,,
1132.83,75,,
1136.52,83,,
