LAB Distance (μm),LAB Intensity (cnts),Matt Distance (μm),Matt Intensity (cnts)
0.0,84.0,0.0,0.0
3.69,73.0,26.83130653266332,0.0
7.38,81.0,53.66261306532664,2.120907272358014e-20
11.07,81.0,80.49391959798994,0.0
14.76,72.0,107.32522613065328,4.694708920809542e-22
18.45,76.0,134.1565326633166,0.0
22.14,83.0,160.9878391959799,2.5135098757145795e-21
25.83,77.0,187.81914572864324,0.0
29.52,78.0,214.65045226130655,0.0
33.21,77.0,241.48175879396987,0.0
36.9,84.0,268.3130653266332,266624772606.69186
40.59,82.0,295.14437185929654,0.0
44.28,70.0,321.9756783919598,7.40458480601677e-22
47.97,80.0,348.8069849246232,0.0
51.66,79.0,375.63829145728647,1.2226864483687095e-21
55.35,76.0,402.46959798994976,0.0
59.04,74.0,429.3009045226131,0.0
62.73,80.0,456.1322110552764,0.0
66.42,78.0,482.96351758793975,6.641076501819023e-21
70.11,80.0,509.79482412060304,0.0
73.8,79.0,536.6261306532664,0.0
77.49,76.0,563.4574371859296,0.0
81.18,81.0,590.2887437185931,2.3434190818782434e-20
84.87,80.0,617.1200502512563,0.0
88.56,78.0,643.9513567839196,0.0
92.25,81.0,670.7826633165829,0.0
95.94,77.0,697.6139698492464,2.0840670187292975e-20
99.63,78.0,724.4452763819096,0.0
103.32,79.0,751.2765829145729,8.726630204440623e-22
107.01,83.0,778.1078894472362,0.0
110.7,80.0,804.9391959798995,327626169375.8184
114.39,80.0,831.7705025125629,0.0
118.08,82.0,858.6018090452262,0.0
121.77,74.0,885.4331155778895,0.0
125.46,80.0,912.2644221105528,2.2988501574016973e-21
129.15,84.0,939.0957286432161,0.0
132.84,80.0,965.9270351758795,6.559499576733801e-22
136.53,78.0,992.7583417085427,0.0
140.22,73.0,1019.5896482412061,6.841187924331227e-21
143.91,82.0,1046.4209547738694,0.0
147.6,77.0,1073.2522613065328,0.0
151.29,78.0,1100.0835678391961,0.0
154.98,80.0,1126.9148743718592,9.018437717799753e-21
158.67,78.0,1153.7461809045226,0.0
162.36,86.0,1180.5774874371862,7.876491355095939e-22
166.05,83.0,1207.4087939698493,0.0
169.74,82.0,1234.2401005025126,1.2770810496649638e-20
173.43,75.0,1261.071407035176,0.0
177.12,77.0,1287.902713567839,0.0
180.81,71.0,1314.7340201005027,0.0
184.5,81.0,1341.5653266331658,520199999999.99994
188.19,79.0,1368.3966331658291,0.0
191.88,78.0,1395.2279396984927,1.5246531265603767e-21
195.57,74.0,1422.0592462311558,0.0
199.26,82.0,1448.8905527638192,6.834383812518166e-21
202.95,74.0,1475.7218592964823,0.0
206.64,75.0,1502.5531658291459,0.0
210.33,76.0,1529.3844723618092,0.0
214.02,78.0,1556.2157788944724,5.5341854509577945e-22
217.71,80.0,1583.0470854271357,0.0
221.4,81.0,1609.878391959799,0.0
225.09,80.0,1636.7096984924624,0.0
228.78,74.0,1663.5410050251257,1.214021518836873e-22
232.47,75.0,1690.3723115577889,0.0
236.16,83.0,1717.2036180904524,0.0
239.85,79.0,1744.0349246231158,0.0
243.54,75.0,1770.866231155779,1.4178429937024323e-21
247.23,80.0,1797.6975376884425,0.0
250.92,78.0,1824.5288442211056,3.0784184635927025e-21
254.61,78.0,1851.360150753769,0.0
258.3,81.0,1878.1914572864323,1261963583042.6187
261.99,76.0,1905.0227638190956,0.0
265.68,81.0,1931.854070351759,0.0
269.37,77.0,1958.685376884422,0.0
273.06,81.0,1985.5166834170855,5.759450609051591e-21
276.75,82.0,2012.347989949749,0.0
280.44,81.0,2039.1792964824122,3.450670145879545e-21
284.13,84.0,2066.0106030150755,0.0
287.82,82.0,2092.841909547739,1.851772120950608e-21
291.51,73.0,2119.673216080402,0.0
295.2,79.0,2146.5045226130655,0.0
298.89,83.0,2173.335829145729,0.0
302.58,75.0,2200.1671356783922,9.348250138665373e-21
306.27,84.0,2226.998442211055,0.0
309.96,79.0,2253.8297487437185,7.560956939997582e-21
313.65,76.0,2280.6610552763823,0.0
317.34,79.0,2307.492361809045,1.381130702907487e-21
321.03,74.0,2334.3236683417085,0.0
324.72,76.0,2361.1549748743723,0.0
328.41,81.0,2387.986281407035,0.0
332.1,72.0,2414.8175879396986,10628585474974.871
335.79,81.0,2441.648894472362,0.0
339.48,80.0,2468.4802010050253,4.5482595193365416e-20
343.17,84.0,2495.3115075376886,0.0
346.86,82.0,2522.142814070352,4.843714235980622e-21
350.55,80.0,2548.9741206030153,0.0
354.24,80.0,2575.805427135678,0.0
357.93,77.0,2602.636733668342,0.0
361.62,77.0,2629.4680402010054,1.9865974930908043e-20
365.31,83.0,2656.2993467336682,0.0
369.0,78.0,2683.1306532663316,26010000000000.0
372.69,81.0,2709.961959798995,0.0
376.38,78.0,2736.7932663316583,2.067951531382569e-21
380.07,78.0,2763.624572864322,0.0
383.76,78.0,2790.4558793969854,0.0
387.45,83.0,2817.2871859296483,0.0
391.14,75.0,2844.1184924623117,3.360421238496675e-21
394.83,82.0,2870.949798994975,0.0
398.52,80.0,2897.7811055276384,4.5482595193365416e-20
402.21,86.0,2924.6124120603017,0.0
405.9,78.0,2951.4437185929646,10628585474974.871
409.59,76.0,2978.275025125628,0.0
413.28,80.0,3005.1063316582918,0.0
416.97,78.0,3031.937638190955,0.0
420.66,82.0,3058.7689447236185,1.464075060377563e-21
424.35,77.0,3085.6002512562814,0.0
428.04,82.0,3112.4315577889447,7.560956939997582e-21
431.73,76.0,3139.262864321608,0.0
435.42,75.0,3166.0941708542714,1.5070799674641202e-22
439.11,79.0,3192.925477386935,0.0
442.8,78.0,3219.756783919598,0.0
446.49,77.0,3246.5880904522614,0.0
450.18,80.0,3273.419396984925,1.6284234109000112e-20
453.87,89.0,3300.250703517588,0.0
457.56,89.0,3327.0820100502515,3.450670145879545e-21
461.25,82.0,3353.913316582915,0.0
464.94,84.0,3380.7446231155777,3.1887187564623265e-21
468.63,80.0,3407.5759296482415,0.0
472.32,82.0,3434.407236180905,0.0
476.01,75.0,3461.238542713568,0.0
479.7,79.0,3488.0698492462316,1261963583042.6196
483.39,83.0,3514.9011557788945,0.0
487.08,83.0,3541.732462311558,3.0784184635927025e-21
490.77,87.0,3568.563768844221,0.0
494.46,72.0,3595.395075376885,6.6414457248663874e-21
498.15,81.0,3622.2263819095483,0.0
501.84,78.0,3649.057688442211,0.0
505.53,80.0,3675.8889949748745,0.0
509.22,83.0,3702.720301507538,3.972336310172792e-21
512.91,85.0,3729.5516080402012,0.0
516.6,82.0,3756.3829145728646,0.0
520.29,85.0,3783.2142211055275,0.0
523.98,82.0,3810.0455276381913,1.8641016661719267e-20
527.67,80.0,3836.8768341708546,0.0
531.36,76.0,3863.708140703518,0.0
535.05,71.0,3890.5394472361813,0.0
538.74,77.0,3917.370753768844,6.666156270008085e-22
542.43,77.0,3944.2020603015076,0.0
546.12,85.0,3971.033366834171,1.5246531265603767e-21
549.81,77.0,3997.8646733668347,0.0
553.5,72.0,4024.695979899498,520200000000.0001
557.19,77.0,4051.527286432161,0.0
560.88,79.0,4078.3585929648243,0.0
564.57,78.0,4105.189899497487,0.0
568.26,74.0,4132.021206030151,6.079562407689994e-21
571.95,79.0,4158.852512562815,0.0
575.64,85.0,4185.683819095478,7.876491355095943e-22
579.33,80.0,4212.515125628141,0.0
583.02,75.0,4239.346432160804,3.1892860062785556e-22
586.71,76.0,4266.177738693467,0.0
590.4,75.0,4293.009045226131,0.0
594.09,78.0,4319.840351758794,0.0
597.78,81.0,4346.671658291458,7.31955966574337e-21
601.47,88.0,4373.502964824121,0.0
605.16,82.0,4400.3342713567845,6.5594995767338e-22
608.85,78.0,4427.165577889447,0.0
612.54,81.0,4453.99688442211,3.0871674695413478e-21
616.23,78.0,4480.828190954774,0.0
619.92,77.0,4507.659497487437,0.0
623.61,81.0,4534.490804020101,0.0
627.3,77.0,4561.322110552765,327626169375.8183
630.99,75.0,4588.1534170854275,0.0
634.68,76.0,4614.98472361809,8.726630204440615e-22
638.37,78.0,4641.816030150754,0.0
642.06,78.0,4668.647336683417,3.72222450632002e-21
645.75,82.0,4695.478643216081,0.0
649.44,84.0,4722.309949748745,0.0
653.13,82.0,4749.141256281408,0.0
656.82,87.0,4775.97256281407,3.866400158981936e-21
660.51,77.0,4802.803869346734,0.0
664.2,80.0,4829.635175879397,0.0
667.89,74.0,4856.466482412061,0.0
671.58,81.0,4883.297788944724,2.2643482923398443e-21
675.27,83.0,4910.129095477387,0.0
678.96,82.0,4936.9604020100505,0.0
682.65,83.0,4963.791708542714,0.0
686.34,80.0,4990.623015075377,1.765841999538672e-20
690.03,79.0,5017.45432160804,0.0
693.72,76.0,5044.285628140704,7.404584806016769e-22
697.41,78.0,5071.116934673367,0.0
701.1,80.0,5097.948241206031,266624772606.69186
704.79,79.0,5124.779547738694,0.0
708.48,78.0,5151.610854271356,0.0
712.17,85.0,5178.44216080402,0.0
715.86,82.0,5205.273467336684,2.6769155725362627e-21
719.55,78.0,5232.104773869347,0.0
723.24,81.0,5258.936080402011,4.694708920809542e-22
726.93,74.0,5285.767386934674,0.0
730.62,85.0,5312.5986934673365,9.901331537276951e-21
734.31,81.0,5339.43,0.0
738.0,79.0
741.69,80.0
745.38,75.0
749.07,80.0
752.76,88.0
756.45,81.0
760.14,84.0
763.83,77.0
767.52,74.0
771.21,78.0
774.9,75.0
778.59,78.0
782.28,77.0
785.97,74.0
789.66,72.0
793.35,81.0
797.04,77.0
800.73,78.0
804.42,80.0
808.11,82.0
811.8,79.0
815.49,81.0
819.18,85.0
822.87,77.0
826.56,78.0
830.25,74.0
833.94,77.0
837.63,77.0
841.32,81.0
845.01,86.0
848.7,76.0
852.39,75.0
856.08,79.0
859.77,75.0
863.46,71.0
867.15,84.0
870.84,81.0
874.53,83.0
878.22,74.0
881.91,73.0
885.6,74.0
889.29,75.0
892.98,89.0
896.67,66.0
900.36,83.0
904.05,77.0
907.74,77.0
911.43,81.0
915.12,80.0
918.81,88.0
922.5,78.0
926.19,75.0
929.88,76.0
933.57,79.0
937.26,73.0
940.95,85.0
944.64,78.0
948.33,80.0
952.02,72.0
955.71,84.0
959.4,78.0
963.09,83.0
966.78,80.0
970.47,84.0
974.16,76.0
977.85,76.0
981.54,83.0
985.23,82.0
988.92,74.0
992.61,80.0
996.3,82.0
999.99,78.0
1003.68,82.0
1007.37,86.0
1011.06,83.0
1014.75,75.0
1018.44,78.0
1022.13,78.0
1025.82,76.0
1029.51,85.0
1033.2,78.0
1036.89,79.0
1040.58,75.0
1044.27,81.0
1047.96,83.0
1051.65,75.0
1055.34,76.0
1059.03,82.0
1062.72,75.0
1066.41,80.0
1070.1,79.0
1073.79,81.0
1077.48,81.0
1081.17,79.0
1084.86,74.0
1088.55,83.0
1092.24,75.0
1095.93,75.0
1099.62,77.0
1103.31,75.0
1107.0,79.0
1110.69,75.0
1114.38,83.0
1118.07,76.0
1121.76,79.0
1125.45,83.0
1129.14,82.0
1132.83,75.0
1136.52,83.0
1140.21,77.0
1143.9,84.0
1147.59,79.0
1151.28,78.0
1154.97,78.0
1158.66,82.0
1162.35,76.0
1166.04,82.0
1169.73,80.0
1173.42,83.0
1177.11,87.0
1180.8,75.0
1184.49,80.0
1188.18,84.0
1191.87,79.0
1195.56,78.0
1199.25,75.0
1202.94,75.0
1206.63,81.0
1210.32,77.0
1214.01,81.0
1217.7,82.0
1221.39,78.0
1225.08,83.0
1228.77,77.0
1232.46,81.0
1236.15,82.0
1239.84,79.0
1243.53,76.0
1247.22,83.0
1250.91,73.0
1254.6,81.0
1258.29,78.0
1261.98,78.0
1265.67,79.0
1269.36,83.0
1273.05,84.0
1276.74,78.0
1280.43,84.0
1284.12,76.0
1287.81,81.0
1291.5,82.0
1295.19,71.0
1298.88,78.0
1302.57,78.0
1306.26,79.0
1309.95,80.0
1313.64,81.0
1317.33,79.0
1321.02,76.0
1324.71,77.0
1328.4,83.0
1332.09,75.0
1335.78,73.0
1339.47,78.0
1343.16,77.0
1346.85,81.0
1350.54,87.0
1354.23,76.0
1357.92,81.0
1361.61,71.0
1365.3,82.0
1368.99,78.0
1372.68,80.0
1376.37,75.0
1380.06,74.0
1383.75,73.0
1387.44,81.0
1391.13,80.0
1394.82,88.0
1398.51,73.0
1402.2,74.0
1405.89,80.0
1409.58,80.0
1413.27,89.0
1416.96,79.0
1420.65,84.0
1424.34,74.0
1428.03,80.0
1431.72,83.0
1435.41,84.0
1439.1,71.0
1442.79,79.0
1446.48,75.0
1450.17,79.0
1453.86,79.0
1457.55,92.0
1461.24,84.0
1464.93,81.0
1468.62,77.0
1472.31,81.0
1476.0,79.0
1479.69,85.0
